id,title,tagline,overview,homepage,release_date,budget,revenue,popularity,runtime,poster_path
515789,StarDog and TurboCat,The greatest superheroes ever unleashed!,"When vigilante cat, Felix, and loyal canine, Buddy, set out to find Buddy’s lost owner, they discover not only the power of friendship, but their inner superpowers along the way.",http://www.kaleidoscopefilmdistribution.com/movie/stardog-and-turbocat,12/6/2019,2100000,585443,21.232,88,/aM0Ksnnuc7NtRibMUhXGmAYAMrx.jpg
465136,Every Day,Every day a different body. Every day a different life. Every day in love with the same girl.,"16-year old Rhiannon falls in love with a mysterious spirit named “A” that inhabits a different body every day. Feeling an unmatched connection, Rhiannon and “A” work each day to find each other, not knowing what the next day will bring.",http://www.seeeveryday.com/,2/22/2018,4900000,10421847,21.221,97,/4UnME3icxSspwL0UoGZNSyyp7Xs.jpg
417644,CHiPS,Chip Happens,The adventures of two California Highway Patrol motorcycle officers as they make their rounds on the freeways of Los Angeles.,http://chipsthemovie.com,3/23/2017,25000000,26800152,21.221,100,/mIHA8Xf6WmxbS83ia4vQ5ojvxV8.jpg
540901,Hustlers,,A crew of savvy former strip club employees band together to turn the tables on their Wall Street clients.,https://www.hustlers.movie/,9/12/2019,20000000,157600000,21.175,110,/zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg
227306,Unbroken,Survival. Resilience. Redemption.,"A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II.",,12/25/2014,65000000,163442937,21.164,137,/djETrCXW11Fb5hEl7vvc3bfs3oc.jpg
445040,My Friend Dahmer,Jeffrey Dahmer murdered 17 men and boys between 1978 and 1991. This is the story before that story.,"Jeffrey Dahmer struggles with a difficult family life as a young boy. During his teenage years he slowly transforms, edging closer to the serial killer he was to become.",https://www.myfrienddahmerthemovie.com/,11/3/2017,0,1361611,21.157,107,/c6HoPIBcRv9l2tPB8hbivq71Nw.jpg
339527,Solace,"A serial killer who can see your future, a psychic who can save it","A psychic doctor, John Clancy, works with an FBI special agent in search of a serial killer.",,9/3/2015,0,22586863,21.141,101,/pbcXpZgem8kgr90RwIUNAbC2ite.jpg
225574,Non-Stop,The hijacking was just the beginning.,"Bill Marks is a burned-out veteran of the Air Marshals service. He views the assignment not as a life-saving duty, but as a desk job in the sky. However, today's flight will be no routine trip. Shortly into the transatlantic journey from New York to London, he receives a series of mysterious text messages ordering him to have the government transfer $150 million into a secret account, or a passenger will die every 20 minutes.",,2/26/2014,50000000,222809600,21.1,106,/Nkgaj3X0W2jHQ1TzHEgWFpN3kJ.jpg
49017,Dracula Untold,Every bloodline has a beginning,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire, Dracula.",,10/1/2014,70000000,217124280,21.1,92,/m5h3NtZ2ZfryIHl1MvatmANvIqQ.jpg
220882,London Fields,"All of them want her, one of them wants her... dead.","Clairvoyant femme fatale, Nicola Six has been living with a dark premonition of her impending death by murder. She begins a tangled love affair with three uniquely different men — one of whom she knows will be her murderer.",https://londonfieldsfilm.com/,9/20/2018,8000000,487420,21.072,118,/7OfQVm5GexlAREp8FoR4ILxp35T.jpg
